county/sub_county,total,farming,crop_production,livestock_production,aquaculture,fishing,irrigation,maize,sorghum,rice,potatoes,beans,cassava,sweet_potatoes,wheat,green_grams,bananas,cabbages,tomatoes,onions,ground_nuts,millet,watermelons,kales,sugarcane,cotton,exotic_cattle_0dairy,exotic_cattle_0beef,indigenous_cattle,sheep,goats,camels,donkeys,pigs,indigenous_chicken,exotic_chicken_layers,exotic_chicken_broilers,beehives,rabbits,fish_ponds,fish_cages
KAUMA,3479,2867.0,2738,1939,10,60,54,2621.0,41.0,8.0,0.0,177.0,748.0,141.0,0.0,387.0,406.0,0.0,157.0,0.0,17.0,7.0,66.0,135.0,108.0,0.0,37,29,812,60,1499,2.0,2,3.0,1342,30,19,3,6,9.0,2.0
KILIFI NORTH,39512,18690.0,17085,12011,30,1021,386,16616.0,160.0,79.0,0.0,593.0,6199.0,689.0,0.0,3212.0,2029.0,0.0,1029.0,0.0,430.0,138.0,296.0,643.0,628.0,0.0,1423,259,2960,287,7854,12.0,28,37.0,8584,194,362,39,85,29.0,5.0
KILIFI SOUTH,53074,15114.0,13485,8570,72,878,466,12930.0,126.0,469.0,0.0,1041.0,5838.0,688.0,0.0,3373.0,3440.0,0.0,870.0,0.0,376.0,89.0,282.0,544.0,733.0,0.0,558,157,1792,177,4938,4.0,31,60.0,6215,183,342,38,86,67.0,8.0
MAGARINI,33017,25989.0,24929,15959,75,1884,856,24193.0,614.0,245.0,0.0,1326.0,5027.0,722.0,0.0,5405.0,1730.0,0.0,1240.0,0.0,304.0,289.0,593.0,1072.0,771.0,0.0,432,227,6065,767,11620,12.0,628,10.0,10013,145,189,160,54,59.0,14.0
MALINDI,73547,31072.0,27424,19363,63,2176,2942,26224.0,388.0,184.0,0.0,1031.0,10146.0,1598.0,0.0,5038.0,4684.0,0.0,2502.0,0.0,605.0,318.0,916.0,1429.0,1635.0,0.0,1206,361,5984,1531,13394,13.0,299,24.0,12351,315,494,120,140,61.0,7.0
RABAI,24809,14349.0,13234,8692,27,132,175,12750.0,75.0,307.0,0.0,1005.0,7472.0,2617.0,0.0,1321.0,4579.0,0.0,591.0,0.0,102.0,44.0,134.0,561.0,1098.0,0.0,266,121,2164,329,4270,5.0,9,127.0,7013,127,113,38,48,25.0,4.0
TANA RIVER,68242,35094.0,16723,27046,212,2136,4528,13141.0,472.0,1255.0,0.0,2373.0,1989.0,991.0,0.0,5627.0,4647.0,0.0,2521.0,723.0,585.0,0.0,2406.0,1815.0,1690.0,384.0,1302,283,12012,16725,21545,3333.0,5329,2.0,10187,1019,616,1066,38,176.0,48.0
TANA DELTA,22791,15128.0,8697,11305,116,1475,1089,6997.0,344.0,766.0,0.0,1612.0,1463.0,518.0,0.0,3320.0,1882.0,0.0,1196.0,235.0,428.0,0.0,1541.0,682.0,1008.0,192.0,456,116,5662,6412,8142,160.0,1395,0.0,5693,437,297,464,22,91.0,29.0
TANA NORTH,26886,9397.0,2803,8021,57,148,1297,2162.0,92.0,202.0,0.0,227.0,103.0,119.0,0.0,525.0,690.0,0.0,382.0,229.0,44.0,0.0,468.0,268.0,184.0,161.0,399,50,2052,5423,7017,2392.0,2714,1.0,1718,300,130,424,9,51.0,15.0
TANA RIVER,18565,10569.0,5223,7720,39,513,2142,3982.0,36.0,287.0,0.0,534.0,423.0,354.0,0.0,1782.0,2075.0,0.0,943.0,259.0,113.0,0.0,397.0,865.0,498.0,31.0,447,117,4298,4890,6386,781.0,1220,1.0,2776,282,189,178,7,34.0,4.0
