County/Sub County,Total,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton,Exotic cattle 0Dairy,Exotic cattle 0Beef,Indigenous cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Exotic Chicken Layers,Exotic Chicken Broilers,Beehives,Rabbits,Fish Ponds,Fish Cages
IGAMBANG'OMBE,14398,12254,11495,9640,50,159,999,8147,5572,182,5537,1611,630,,5612,1673,96,345,140,57,5004,141,888,462,134,,1137,273,4271,2045,7409,7,98,239,7880,231,137,1632,469,49,2
MAARA,35041,27526,25577,22505,101,228,4625,22411,6627,1950,19555,9279,5728,,2422,17938,1391,2320,4274,267,1616,321,8614,5469,114,,11013,2264,3693,2211,12252,10,5,1496,17224,1138,461,2066,1596,97,8
MERU SOUTH,28249,19251,17733,15519,80,139,1138,15832,1883,4090,14528,6907,3628,,255,11559,518,805,1089,125,300,117,3219,4003,52,,5625,957,3618,1993,9003,1,6,1164,12408,843,295,1650,1783,75,8
THARAKA NORTH,13413,11402,10623,8381,32,63,236,2660,8316,44,959,170,113,,9190,261,40,111,65,360,9350,349,283,150,139,,90,21,4342,3227,6625,6,2642,368,6806,105,32,1730,23,29,4
THARAKA SOUTH,18646,15330,13798,11917,41,196,766,4678,9450,45,1246,335,325,,11665,460,57,163,105,203,10992,230,501,148,177,,320,120,6350,3563,9495,9,1098,299,9936,305,116,1976,133,34,7
MT. KENYA FOREST,113,4,2,2,0,1,2,2,,1,2,1,1,,,1,,1,1,,,,2,,,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
EMBU,182743,130990,123265,98446,579,1633,11873,109171,22883,31032,89278,27641,20905,,30437,55970,8247,8734,8517,1215,12819,1884,27825,17631,,,23852,5700,32172,12781,56864,56,8069,2404,80171,4250,1525,11926,7297,549,57
EMBU EAST,39678,31674,29995,23924,160,234,2595,26782,740,13434,23223,9993,6218,,209,21651,2601,2578,3137,202,282,277,9108,7359,,,9087,2026,4669,2221,11625,8,12,545,19095,1324,457,2159,2293,159,15
EMBU NORTH,24300,18854,17797,13718,90,176,2234,14688,169,6378,11822,4179,5096,,139,13757,4260,2289,3214,107,80,127,9773,4749,,,7012,1593,1551,1373,4519,4,3,616,9773,1051,421,976,1567,84,8
EMBU WEST,43153,21166,19386,14566,151,220,2231,16926,443,9283,14872,4414,3725,,317,12529,943,1359,1292,242,205,285,4773,3370,,,5180,1414,2402,1115,6612,10,43,900,11173,879,342,1131,1582,141,15
MBEERESOUTH,46065,35511,33684,27304,93,705,2930,31493,12570,698,24850,5218,3945,,20013,3659,274,1664,486,451,4855,724,2431,1064,,,1226,424,14638,4924,20027,20,5376,161,23551,638,169,4040,1058,88,12
MBEERE NORTH,29528,23785,22403,18934,85,298,1883,19282,8961,1239,14511,3837,1921,,9759,4374,169,844,388,213,7397,471,1740,1089,,,1347,243,8912,3148,14081,14,2635,182,16579,358,136,3620,797,77,7
MT. KENYA FOREST,19,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KITUI,262942,215322,199459,177701,570,863,6716,178635,98030,,105815,35623,15210,,133390,16923,1330,8600,5648,,60988,17724,19725,3959,2711,,3865,3016,88486,20920,149306,433,103497,175,147023,3016,1968,30134,710,461,82
IKUTHA,16679,14236,12055,12419,29,62,582,11519,7331,,2705,1269,674,,10007,354,82,451,274,,4464,1767,1265,135,99,,287,237,6610,1574,10912,6,8639,14,10106,239,145,3044,16,21,3
KATULANI,12170,10717,10312,8313,29,39,327,10218,1976,,8454,2224,1336,,5744,845,55,514,299,,252,271,937,144,29,,205,174,4018,356,6628,7,4233,7,7172,178,151,444,49,24,7
KISASI,10866,9797,9618,7756,15,28,221,9452,4226,,5605,2311,1294,,6861,634,78,547,360,,556,448,902,120,74,,135,109,4225,310,6289,3,4129,9,6524,87,41,708,41,11,1
KITUI CENTRAL,29057,17146,16227,11892,47,73,484,15951,3334,,13599,5857,2060,,4553,3958,171,963,610,,730,412,2191,1063,105,,561,254,4856,332,8313,7,3397,14,9795,329,200,689,65,42,3
KITUI WEST,17497,15208,14688,12411,21,52,262,14528,4148,,13917,3739,1410,,7066,2355,89,434,379,,430,242,1062,315,35,,313,135,5607,1008,9738,10,6165,11,10827,107,57,357,147,18,1
KYUSO,15993,14021,12646,12287,37,65,500,8649,10300,,2600,1076,224,,10710,319,60,403,293,,8956,2412,836,167,650,,195,241,6508,2304,10907,11,9089,10,9791,248,170,3253,12,34,4
LOWER YATTA,15454,12281,11395,10349,76,78,618,11247,3502,,8902,1185,1233,,8227,888,100,681,525,,691,570,1524,178,87,,379,313,6243,1380,8869,9,6395,7,8461,286,215,1890,24,50,26
MATINYANI,11513,10531,10247,8314,17,27,376,10104,2111,,9620,2966,1327,,4150,1623,81,499,335,,161,157,1618,260,25,,286,206,3953,712,6297,5,3504,8,7272,183,93,329,75,14,2
MIGWANI,19096,17012,16281,14237,27,66,326,16066,4482,,14899,4481,1640,,9685,2235,84,631,412,,882,510,1245,413,69,,216,150,6278,1340,11927,4,6759,13,12272,127,80,1418,141,24,2
